Gene,gene.description
AT1G26270,Phosphatidylinositol 4-kinase gamma 5 [Source:UniProtKB/Swiss-Prot;Acc:Q9C671]
AT2G40160,Protein trichome birefringence-like 30 [Source:UniProtKB/Swiss-Prot;Acc:Q9SEZ9]
AT1G11755,Undecaprenyl pyrophosphate synthetase family protein [Source:TAIR;Acc:AT1G11755]
AT2G34390,Aquaporin NIP2-1 [Source:UniProtKB/Swiss-Prot;Acc:Q8W037]
AT2G39410,alpha/beta-Hydrolases superfamily protein [Source:TAIR;Acc:AT2G39410]
AT1G01070,WAT1-related protein At1g01070 [Source:UniProtKB/Swiss-Prot;Acc:Q5XEZ0]
AT1G78020,Protein of unknown function (DUF581) [Source:TAIR;Acc:AT1G78020]
AT3G06650,ATP-citrate synthase beta chain protein 1 [Source:UniProtKB/Swiss-Prot;Acc:Q9C522]
AT2G31800,Integrin-linked protein kinase family [Source:TAIR;Acc:AT2G31800]
AT1G09440,Protein kinase superfamily protein [Source:TAIR;Acc:AT1G09440]
AT1G10200,LIM domain-containing protein WLIM1 [Source:UniProtKB/Swiss-Prot;Acc:Q94JX5]
AT3G57010,Protein STRICTOSIDINE SYNTHASE-LIKE 8 [Source:UniProtKB/Swiss-Prot;Acc:Q9M1J7]
AT5G38030,MATE efflux family protein [Source:TAIR;Acc:AT5G38030]
AT2G41430,Protein EARLY RESPONSIVE TO DEHYDRATION 15 [Source:UniProtKB/Swiss-Prot;Acc:Q39096]
AT1G04330,unknown protein; FUNCTIONS IN: molecular_function unknown; INVOLVED IN: biological_process unknown; LOCATED IN: chloroplast; BEST Arabidopsis thaliana protein match is: unknown protein (TAIR:AT3G23170.1); Has 74 Blast hits to 74 proteins in 6 specie /.../hae - 0; Bacteria - 0; Metazoa - 0; Fungi - 0; Plants - 74; Viruses - 0; Other Eukaryotes - 0 (source: NCBI BLink). [Source:TAIR;Acc:AT1G04330]
AT1G07780,"N-(5'-phosphoribosyl)anthranilate isomerase 1, chloroplastic [Source:UniProtKB/Swiss-Prot;Acc:Q42440]"
AT1G26450,Carbohydrate-binding X8 domain-containing protein [Source:UniProtKB/Swiss-Prot;Acc:Q9FZD0]
AT3G46900,Copper transporter 2 [Source:UniProtKB/Swiss-Prot;Acc:Q9STG2]
AT5G53300,Ubiquitin-conjugating enzyme E2 10 [Source:UniProtKB/Swiss-Prot;Acc:P35133]
AT4G31730,Protein GLUTAMINE DUMPER 1 [Source:UniProtKB/Swiss-Prot;Acc:O81775]
AT5G28060,40S ribosomal protein S24-2 [Source:UniProtKB/Swiss-Prot;Acc:Q8LC83]
AT2G17630,"Phosphoserine aminotransferase 2, chloroplastic [Source:UniProtKB/Swiss-Prot;Acc:Q9SHP0]"
AT1G01820,Peroxisomal membrane protein 11C [Source:UniProtKB/Swiss-Prot;Acc:Q9LQ73]
AT2G43260,F-box/LRR-repeat protein At2g43260 [Source:UniProtKB/Swiss-Prot;Acc:Q8S8Q9]
AT1G03820,unknown protein; FUNCTIONS IN: molecular_function unknown; INVOLVED IN: biological_process unknown; LOCATED IN: endomembrane system; EXPRESSED IN: 21 plant structures; EXPRESSED DURING: 13 growth stages; Has 1345 Blast hits to 1122 proteins in 102 s /.../: Archae - 2; Bacteria - 28; Metazoa - 28; Fungi - 30; Plants - 109; Viruses - 0; Other Eukaryotes - 1148 (source: NCBI BLink). [Source:TAIR;Acc:AT1G03820]
AT4G03200,catalytics [Source:TAIR;Acc:AT4G03200]
AT5G42750,BRI1 kinase inhibitor 1 [Source:UniProtKB/Swiss-Prot;Acc:Q9FMZ0]
AT3G02620,"Acyl-[acyl-carrier-protein] desaturase 4, chloroplastic [Source:UniProtKB/Swiss-Prot;Acc:Q9M880]"
AT2G37340,Serine/arginine-rich splicing factor RS2Z33 [Source:UniProtKB/Swiss-Prot;Acc:Q8VYA5]
AT1G11380,PLAC8 family protein [Source:TAIR;Acc:AT1G11380]
AT5G02260,Expansin-A9 [Source:UniProtKB/Swiss-Prot;Acc:Q9LZ99]
AT5G42500,Dirigent protein 2 [Source:UniProtKB/Swiss-Prot;Acc:Q9FIG7]
AT4G01430,WAT1-related protein At4g01430 [Source:UniProtKB/Swiss-Prot;Acc:Q9M131]
AT3G42790,PHD finger protein ALFIN-LIKE 3 [Source:UniProtKB/Swiss-Prot;Acc:Q9M2B4]
AT1G56600,Galactinol synthase 2 [Source:UniProtKB/Swiss-Prot;Acc:Q9FXB2]
AT4G28400,Probable protein phosphatase 2C 58 [Source:UniProtKB/Swiss-Prot;Acc:Q93YW5]
AT3G22440,FRIGIDA-like protein 4a [Source:UniProtKB/Swiss-Prot;Acc:Q9LUV4]
AT4G33790,Fatty acyl-CoA reductase 3 [Source:UniProtKB/Swiss-Prot;Acc:Q93ZB9]
AT3G47160,RING/U-box superfamily protein [Source:TAIR;Acc:AT3G47160]
AT5G20250,Probable galactinol--sucrose galactosyltransferase 6 [Source:UniProtKB/Swiss-Prot;Acc:Q8RX87]
AT2G32850,Protein kinase superfamily protein [Source:TAIR;Acc:AT2G32850]
AT5G58787,RING/U-box superfamily protein [Source:TAIR;Acc:AT5G58787]
AT1G06780,Probable galacturonosyltransferase 6 [Source:UniProtKB/Swiss-Prot;Acc:Q9M9Y5]
AT2G22600,RNA-binding KH domain-containing protein [Source:TAIR;Acc:AT2G22600]
AT3G45960,Expansin-like A3 [Source:UniProtKB/Swiss-Prot;Acc:Q9LZT5]
AT1G72680,Probable cinnamyl alcohol dehydrogenase 1 [Source:UniProtKB/Swiss-Prot;Acc:Q9CAI3]
AT3G60260,ELMO/CED-12 family protein [Source:TAIR;Acc:AT3G60260]
AT2G34355,Major facilitator superfamily protein [Source:TAIR;Acc:AT2G34355]
AT1G68360,C2H2 and C2HC zinc fingers superfamily protein [Source:TAIR;Acc:AT1G68360]
AT3G04940,Bifunctional L-3-cyanoalanine synthase/cysteine synthase D1 [Source:UniProtKB/Swiss-Prot;Acc:Q9S6Z7]
AT1G28620,"pseudogene, lipase, similar to lipase Arab-1 GB:S68410 GI:2129636 (Arabidopsis thaliana); blastp match of 44% identity and 1.2e-48 P-value to GP [Source:TAIR;Acc:AT1G28620]"
AT1G51980,Probable mitochondrial-processing peptidase subunit alpha-1 [Source:UniProtKB/Swiss-Prot;Acc:Q9ZU25]
AT2G14510,Leucine-rich repeat receptor-like serine/threonine-protein kinase At2g14510 [Source:UniProtKB/Swiss-Prot;Acc:Q9ZQR3]
AT1G08190,Vacuolar protein sorting-associated protein 41 homolog [Source:UniProtKB/Swiss-Prot;Acc:P93043]
AT1G26670,Vesicle transport v-SNARE 12 [Source:UniProtKB/Swiss-Prot;Acc:Q9SEL5]
AT2G27920,Serine carboxypeptidase-like 51 [Source:UniProtKB/Swiss-Prot;Acc:Q67Y83]
AT2G43880,Pectin lyase-like superfamily protein [Source:TAIR;Acc:AT2G43880]
AT5G02230,Haloacid dehalogenase-like hydrolase (HAD) superfamily protein [Source:TAIR;Acc:AT5G02230]
AT5G22920,CHY-type/CTCHY-type/RING-type Zinc finger protein [Source:TAIR;Acc:AT5G22920]
AT4G01380,plastocyanin-like domain-containing protein [Source:TAIR;Acc:AT4G01380]
AT1G74010,Calcium-dependent phosphotriesterase superfamily protein [Source:TAIR;Acc:AT1G74010]
AT3G22800,Leucine-rich repeat extensin-like protein 6 [Source:UniProtKB/Swiss-Prot;Acc:Q9LUI1]
AT1G61930,"Protein of unknown function, DUF584 [Source:TAIR;Acc:AT1G61930]"
AT1G72900,Toll-Interleukin-Resistance (TIR) domain-containing protein [Source:TAIR;Acc:AT1G72900]
AT1G52740,Probable histone H2A variant 3 [Source:UniProtKB/Swiss-Prot;Acc:Q9C944]
AT2G14910,unknown protein; LOCATED IN: chloroplast; EXPRESSED IN: 24 plant structures; EXPRESSED DURING: 15 growth stages; BEST Arabidopsis thaliana protein match is: unknown protein (TAIR:AT5G14970.1); Has 605 Blast hits to 425 proteins in 102 species: Archa /.../ Bacteria - 300; Metazoa - 25; Fungi - 0; Plants - 89; Viruses - 0; Other Eukaryotes - 191 (source: NCBI BLink). [Source:TAIR;Acc:AT2G14910]
AT3G07120,RING/U-box superfamily protein [Source:TAIR;Acc:AT3G07120]
AT1G13970,Protein of unknown function (DUF1336) [Source:TAIR;Acc:AT1G13970]
AT4G11211,unknown protein; Has 35333 Blast hits to 34131 proteins in 2444 species: Archae - 798; Bacteria - 22429; Metazoa - 974; Fungi - 991; Plants - 531; Viruses - 0; Other Eukaryotes - 9610 (source: NCBI BLink). [Source:TAIR;Acc:AT4G11211]
AT4G14130,Xyloglucan endotransglucosylase/hydrolase protein 15 [Source:UniProtKB/Swiss-Prot;Acc:Q38911]
AT1G03410,1-aminocyclopropane-1-carboxylate oxidase homolog 5 [Source:UniProtKB/Swiss-Prot;Acc:Q43383]
AT5G62520,Probable inactive poly [ADP-ribose] polymerase SRO5 [Source:UniProtKB/Swiss-Prot;Acc:Q9FJJ3]
AT4G17340,Probable aquaporin TIP2-2 [Source:UniProtKB/Swiss-Prot;Acc:Q41975]
AT3G26900,"Probable inactive shikimate kinase like 1, chloroplastic [Source:UniProtKB/Swiss-Prot;Acc:Q9LW20]"
AT5G14310,Probable carboxylesterase 16 [Source:UniProtKB/Swiss-Prot;Acc:Q8LED9]
AT5G58090,"Glucan endo-1,3-beta-glucosidase 6 [Source:UniProtKB/Swiss-Prot;Acc:Q93Z08]"
AT5G59260,Probable L-type lectin-domain containing receptor kinase II.1 [Source:UniProtKB/Swiss-Prot;Acc:Q9FIF1]
AT1G78900,V-type proton ATPase catalytic subunit A [Source:UniProtKB/Swiss-Prot;Acc:O23654]
AT4G03510,E3 ubiquitin-protein ligase RMA1 [Source:UniProtKB/Swiss-Prot;Acc:O64425]
AT1G76180,Dehydrin ERD14 [Source:UniProtKB/Swiss-Prot;Acc:P42763]
AT3G60840,microtubule-associated protein 65-4 [Source:TAIR;Acc:AT3G60840]
AT5G57830,"Protein of unknown function, DUF593 [Source:TAIR;Acc:AT5G57830]"
AT4G15740,Calcium-dependent lipid-binding (CaLB domain) family protein [Source:TAIR;Acc:AT4G15740]
AT5G15890,Protein trichome birefringence-like 21 [Source:UniProtKB/Swiss-Prot;Acc:Q9LFT1]
AT1G23460,Pectin lyase-like superfamily protein [Source:TAIR;Acc:AT1G23460]
AT3G21270,Dof zinc finger protein DOF3.1 [Source:UniProtKB/Swiss-Prot;Acc:Q94AR6]
AT1G45201,triacylglycerol lipase-like 1 [Source:TAIR;Acc:AT1G45201]
AT1G05650,Pectin lyase-like superfamily protein [Source:TAIR;Acc:AT1G05650]
AT1G33560,Disease resistance protein ADR1 [Source:UniProtKB/Swiss-Prot;Acc:Q9FW44]
AT1G23390,F-box/kelch-repeat protein At1g23390 [Source:UniProtKB/Swiss-Prot;Acc:Q9LDE3]
AT1G33140,60S ribosomal protein L9-1 [Source:UniProtKB/Swiss-Prot;Acc:P49209]
AT2G32840,proline-rich family protein [Source:TAIR;Acc:AT2G32840]
AT2G39700,Expansin-A4 [Source:UniProtKB/Swiss-Prot;Acc:O48818]
AT5G02000,unknown protein; Has 5 Blast hits to 5 proteins in 2 species: Archae - 0; Bacteria - 0; Metazoa - 0; Fungi - 0; Plants - 5; Viruses - 0; Other Eukaryotes - 0 (source: NCBI BLink). [Source:TAIR;Acc:AT5G02000]
AT4G38510,V-type proton ATPase subunit B2 [Source:UniProtKB/Swiss-Prot;Acc:Q9SZN1]
AT2G30490,Trans-cinnamate 4-monooxygenase [Source:UniProtKB/Swiss-Prot;Acc:P92994]
AT2G46950,"cytochrome P450, family 709, subfamily B, polypeptide 2 [Source:TAIR;Acc:AT2G46950]"
AT5G57220,"cytochrome P450, family 81, subfamily F, polypeptide 2 [Source:TAIR;Acc:AT5G57220]"
AT1G76790,O-methyltransferase family protein [Source:TAIR;Acc:AT1G76790]
AT5G50900,ARM repeat superfamily protein [Source:TAIR;Acc:AT5G50900]
AT1G64160,Dirigent protein 5 [Source:UniProtKB/Swiss-Prot;Acc:Q9SH66]
AT2G35920,RNA helicase family protein [Source:TAIR;Acc:AT2G35920]
AT1G08290,Zinc finger protein WIP3 [Source:UniProtKB/Swiss-Prot;Acc:Q9SGD1]
AT4G32480,Protein of unknown function (DUF506) [Source:TAIR;Acc:AT4G32480]
AT5G09530,hydroxyproline-rich glycoprotein family protein [Source:TAIR;Acc:AT5G09530]
AT1G73830,Transcription factor BEE 3 [Source:UniProtKB/Swiss-Prot;Acc:Q8GWK7]
AT2G38060,"Probable anion transporter 3, chloroplastic [Source:UniProtKB/Swiss-Prot;Acc:Q7XJR2]"
AT4G21990,"5'-adenylylsulfate reductase 3, chloroplastic [Source:UniProtKB/Swiss-Prot;Acc:P92980]"
AT2G34560,P-loop containing nucleoside triphosphate hydrolases superfamily protein [Source:TAIR;Acc:AT2G34560]
AT3G02940,myb domain protein 107 [Source:TAIR;Acc:AT3G02940]
AT1G52710,Putative cytochrome c oxidase subunit 5b-like [Source:UniProtKB/Swiss-Prot;Acc:Q9SSS5]
AT3G50350,Protein of unknown function (DUF1685) [Source:TAIR;Acc:AT3G50350]
AT3G54190,Transducin/WD40 repeat-like superfamily protein [Source:TAIR;Acc:AT3G54190]
AT1G24530,Transducin/WD40 repeat-like superfamily protein [Source:TAIR;Acc:AT1G24530]
AT5G20670,Protein of unknown function (DUF1677) [Source:TAIR;Acc:AT5G20670]
AT3G49140,Uncharacterized protein At3g49140 [Source:UniProtKB/Swiss-Prot;Acc:Q0WMN5]
AT5G57400,unknown protein; Has 1 Blast hits to 1 proteins in 1 species: Archae - 0; Bacteria - 0; Metazoa - 0; Fungi - 0; Plants - 1; Viruses - 0; Other Eukaryotes - 0 (source: NCBI BLink). [Source:TAIR;Acc:AT5G57400]
AT1G30230,Elongation factor 1-delta 1 [Source:UniProtKB/Swiss-Prot;Acc:P48006]
AT2G40100,"Chlorophyll a-b binding protein CP29.3, chloroplastic [Source:UniProtKB/Swiss-Prot;Acc:Q9S7W1]"
AT4G31310,AIG2-like (avirulence induced gene) family protein [Source:TAIR;Acc:AT4G31310]
AT2G32960,Phosphotyrosine protein phosphatases superfamily protein [Source:TAIR;Acc:AT2G32960]
AT1G62500,Bifunctional inhibitor/lipid-transfer protein/seed storage 2S albumin superfamily protein [Source:TAIR;Acc:AT1G62500]
AT5G60400,unknown protein; Has 35333 Blast hits to 34131 proteins in 2444 species: Archae - 798; Bacteria - 22429; Metazoa - 974; Fungi - 991; Plants - 531; Viruses - 0; Other Eukaryotes - 9610 (source: NCBI BLink). [Source:TAIR;Acc:AT5G60400]
AT3G12520,Probable sulfate transporter 4.2 [Source:UniProtKB/Swiss-Prot;Acc:Q8GYH8]
AT3G25495,pseudogene of leucine-rich repeat protein [Source:TAIR;Acc:AT3G25495]
AT5G51810,Gibberellin 20 oxidase 2 [Source:UniProtKB/Swiss-Prot;Acc:Q39111]
AT2G31810,"Acetolactate synthase small subunit 2, chloroplastic [Source:UniProtKB/Swiss-Prot;Acc:Q93YZ7]"
AT1G10682,other RNA [Source:TAIR;Acc:AT1G10682]
AT1G50050,"CAP (Cysteine-rich secretory proteins, Antigen 5, and Pathogenesis-related 1 protein) superfamily protein [Source:TAIR;Acc:AT1G50050]"
AT1G62300,WRKY transcription factor 6 [Source:UniProtKB/Swiss-Prot;Acc:Q9C519]
AT1G55940,"cytochrome P450, family 708, subfamily A, polypeptide 1 [Source:TAIR;Acc:AT1G55940]"
AT2G40470,LOB domain-containing protein 15 [Source:UniProtKB/Swiss-Prot;Acc:Q8L5T5]
AT1G65730,Probable metal-nicotianamine transporter YSL7 [Source:UniProtKB/Swiss-Prot;Acc:Q9SHY2]
AT1G50720,Stigma-specific STIG1-like protein 3 [Source:UniProtKB/Swiss-Prot;Acc:Q9C6T5]
AT4G35420,Tetraketide alpha-pyrone reductase 1 [Source:UniProtKB/Swiss-Prot;Acc:Q500U8]
AT4G15990,unknown protein; BEST Arabidopsis thaliana protein match is: unknown protein (TAIR:AT4G16024.1); Has 14 Blast hits to 14 proteins in 2 species: Archae - 0; Bacteria - 0; Metazoa - 0; Fungi - 0; Plants - 14; Viruses - 0; Other Eukaryotes - 0 (source: /.../BLink). [Source:TAIR;Acc:AT4G15990]
AT3G48520,Cytochrome P450 94B3 [Source:UniProtKB/Swiss-Prot;Acc:Q9SMP5]
AT5G58540,Protein kinase superfamily protein [Source:TAIR;Acc:AT5G58540]
AT5G23510,unknown protein; BEST Arabidopsis thaliana protein match is: unknown protein (TAIR:AT5G23490.1); Has 35333 Blast hits to 34131 proteins in 2444 species: Archae - 798; Bacteria - 22429; Metazoa - 974; Fungi - 991; Plants - 531; Viruses - 0; Other Euk /.../s - 9610 (source: NCBI BLink). [Source:TAIR;Acc:AT5G23510]
AT1G74030,"Enolase 1, chloroplastic [Source:UniProtKB/Swiss-Prot;Acc:Q9C9C4]"
AT3G10370,"Glycerol-3-phosphate dehydrogenase SDP6, mitochondrial [Source:UniProtKB/Swiss-Prot;Acc:Q9SS48]"
AT1G02840,Serine/arginine-rich-splicing factor SR34 [Source:UniProtKB/Swiss-Prot;Acc:O22315]
AT3G55770,LIM domain-containing protein WLIM2b [Source:UniProtKB/Swiss-Prot;Acc:Q9M047]
AT5G05340,Peroxidase 52 [Source:UniProtKB/Swiss-Prot;Acc:Q9FLC0]
AT2G01650,Plant UBX domain-containing protein 2 [Source:UniProtKB/Swiss-Prot;Acc:Q9ZU93]
AT4G21870,15.4 kDa class V heat shock protein [Source:UniProtKB/Swiss-Prot;Acc:O49710]
AT1G79640,Protein kinase superfamily protein [Source:TAIR;Acc:AT1G79640]
AT1G11180,Secretory carrier-associated membrane protein 5 [Source:UniProtKB/Swiss-Prot;Acc:Q9SXA5]
AT3G61420,Probable RNA polymerase II transcription factor B subunit 1-3 [Source:UniProtKB/Swiss-Prot;Acc:Q9M322]
AT2G31985,Protein of unknown function (DUF1264) [Source:TAIR;Acc:AT2G31985]
AT5G67360,Subtilisin-like protease SBT1.7 [Source:UniProtKB/Swiss-Prot;Acc:O65351]
AT1G17090,unknown protein; INVOLVED IN: biological_process unknown; LOCATED IN: endomembrane system; EXPRESSED IN: 17 plant structures; EXPRESSED DURING: 7 growth stages; Has 5 Blast hits to 5 proteins in 2 species: Archae - 0; Bacteria - 0; Metazoa - 0; Fung /.../ Plants - 5; Viruses - 0; Other Eukaryotes - 0 (source: NCBI BLink). [Source:TAIR;Acc:AT1G17090]
AT1G67300,Probable plastidic glucose transporter 2 [Source:UniProtKB/Swiss-Prot;Acc:Q9FYG3]
AT1G02220,NAC domain-containing protein 3 [Source:UniProtKB/Swiss-Prot;Acc:Q5PP28]
AT5G39040,ABC transporter B family member 27 [Source:UniProtKB/Swiss-Prot;Acc:Q0WML0]
AT1G60730,Probable aldo-keto reductase 5 [Source:UniProtKB/Swiss-Prot;Acc:Q9ASZ9]
AT3G08040,MATE efflux family protein FRD3 [Source:UniProtKB/Swiss-Prot;Acc:Q9SFB0]
AT3G11340,UDP-Glycosyltransferase superfamily protein [Source:TAIR;Acc:AT3G11340]
AT1G19900,glyoxal oxidase-related protein [Source:TAIR;Acc:AT1G19900]
AT5G20830,Sucrose synthase 1 [Source:UniProtKB/Swiss-Prot;Acc:P49040]
AT4G19230,Abscisic acid 8'-hydroxylase 1 [Source:UniProtKB/Swiss-Prot;Acc:Q949P1]
AT1G58360,Amino acid permease 1 [Source:UniProtKB/Swiss-Prot;Acc:Q42400]
AT1G64110,P-loop containing nucleoside triphosphate hydrolases superfamily protein [Source:TAIR;Acc:AT1G64110]
AT1G05810,RAB GTPase homolog A5E [Source:TAIR;Acc:AT1G05810]
AT5G45280,Pectin acetylesterase 11 [Source:UniProtKB/Swiss-Prot;Acc:Q9FH82]
AT5G67480,BTB/POZ and TAZ domain-containing protein 4 [Source:UniProtKB/Swiss-Prot;Acc:Q9FJX5]
AT1G01720,NAC domain-containing protein 2 [Source:UniProtKB/Swiss-Prot;Acc:Q39013]
AT1G17190,Glutathione S-transferase U26 [Source:UniProtKB/Swiss-Prot;Acc:Q9SHH8]
AT4G37700,unknown protein; Has 64 Blast hits to 64 proteins in 11 species: Archae - 0; Bacteria - 0; Metazoa - 0; Fungi - 0; Plants - 64; Viruses - 0; Other Eukaryotes - 0 (source: NCBI BLink). [Source:TAIR;Acc:AT4G37700]
AT4G22666,Bifunctional inhibitor/lipid-transfer protein/seed storage 2S albumin superfamily protein [Source:TAIR;Acc:AT4G22666]
AT1G65220,ARM repeat superfamily protein [Source:TAIR;Acc:AT1G65220]
AT2G24100,unknown protein; BEST Arabidopsis thaliana protein match is: unknown protein (TAIR:AT4G30780.1); Has 101 Blast hits to 101 proteins in 16 species: Archae - 0; Bacteria - 0; Metazoa - 0; Fungi - 0; Plants - 95; Viruses - 0; Other Eukaryotes - 6 (sour /.../BI BLink). [Source:TAIR;Acc:AT2G24100]
AT4G08300,WAT1-related protein At4g08300 [Source:UniProtKB/Swiss-Prot;Acc:Q501F8]
AT1G63770,Peptidase M1 family protein [Source:TAIR;Acc:AT1G63770]
AT1G60710,Probable aldo-keto reductase 4 [Source:UniProtKB/Swiss-Prot;Acc:Q93ZN2]
AT1G63010,SPX domain-containing membrane protein At1g63010 [Source:UniProtKB/Swiss-Prot;Acc:Q2V4F9]
AT5G53250,Arabinogalactan peptide 22 [Source:UniProtKB/Swiss-Prot;Acc:Q9FK16]
AT5G60700,glycosyltransferase family protein 2 [Source:TAIR;Acc:AT5G60700]
AT1G37130,Nitrate reductase [NADH] 2 [Source:UniProtKB/Swiss-Prot;Acc:P11035]
AT1G13420,Cytosolic sulfotransferase 8 [Source:UniProtKB/Swiss-Prot;Acc:Q9FX56]
AT3G16390,Nitrile-specifier protein 3 [Source:UniProtKB/Swiss-Prot;Acc:O04318]
AT5G05960,Bifunctional inhibitor/lipid-transfer protein/seed storage 2S albumin superfamily protein [Source:TAIR;Acc:AT5G05960]
AT1G27140,Glutathione S-transferase U14 [Source:UniProtKB/Swiss-Prot;Acc:Q9FUT1]
AT4G26010,Peroxidase 44 [Source:UniProtKB/Swiss-Prot;Acc:Q93V93]
AT4G25090,Putative respiratory burst oxidase homolog protein G [Source:UniProtKB/Swiss-Prot;Acc:Q9SW17]
AT1G73680,Alpha-dioxygenase 2 [Source:UniProtKB/Swiss-Prot;Acc:Q9C9U3]
AT1G72510,Protein of unknown function (DUF1677) [Source:TAIR;Acc:AT1G72510]
AT5G26340,Sugar transport protein 13 [Source:UniProtKB/Swiss-Prot;Acc:Q94AZ2]
AT5G07460,Peptide methionine sulfoxide reductase A2 [Source:UniProtKB/Swiss-Prot;Acc:Q9LY15]
AT5G50760,SAUR-like auxin-responsive protein family [Source:TAIR;Acc:AT5G50760]
AT4G38800,5'-methylthioadenosine/S-adenosylhomocysteine nucleosidase 1 [Source:UniProtKB/Swiss-Prot;Acc:Q9T0I8]
AT1G77120,Alcohol dehydrogenase class-P [Source:UniProtKB/Swiss-Prot;Acc:P06525]
AT5G17380,2-hydroxyacyl-CoA lyase [Source:UniProtKB/Swiss-Prot;Acc:Q9LF46]
AT2G19900,NADP-dependent malic enzyme 1 [Source:UniProtKB/Swiss-Prot;Acc:O82191]
AT1G20190,Expansin-A11 [Source:UniProtKB/Swiss-Prot;Acc:Q9LNU3]
AT3G01260,Galactose mutarotase-like superfamily protein [Source:TAIR;Acc:AT3G01260]
AT1G64200,V-type proton ATPase subunit E3 [Source:UniProtKB/Swiss-Prot;Acc:P0CAN7]
AT5G37500,Potassium channel GORK [Source:UniProtKB/Swiss-Prot;Acc:Q94A76]
AT2G04350,Long chain acyl-CoA synthetase 8 [Source:UniProtKB/Swiss-Prot;Acc:Q9SJD4]
AT4G02270,root hair specific 13 [Source:TAIR;Acc:AT4G02270]
AT1G20160,CO(2)-response secreted protease [Source:UniProtKB/Swiss-Prot;Acc:Q9LNU1]
AT2G02990,Ribonuclease 1 [Source:UniProtKB/Swiss-Prot;Acc:P42813]
AT5G36180,Serine carboxypeptidase-like 1 [Source:UniProtKB/Swiss-Prot;Acc:Q8RWJ6]
AT5G43745,Putative ion channel POLLUX-like 2 [Source:UniProtKB/Swiss-Prot;Acc:Q940Y9]
AT3G51350,Eukaryotic aspartyl protease family protein [Source:TAIR;Acc:AT3G51350]
AT4G26080,Protein phosphatase 2C 56 [Source:UniProtKB/Swiss-Prot;Acc:P49597]
AT3G59140,ABC transporter C family member 10 [Source:UniProtKB/Swiss-Prot;Acc:Q9LYS2]
AT4G34980,Subtilisin-like protease SBT1.6 [Source:UniProtKB/Swiss-Prot;Acc:O49607]
AT4G21600,Endonuclease 5 [Source:UniProtKB/Swiss-Prot;Acc:F4JJL3]
AT1G62570,Flavin-containing monooxygenase FMO GS-OX4 [Source:UniProtKB/Swiss-Prot;Acc:Q93Y23]
AT1G52720,unknown protein; BEST Arabidopsis thaliana protein match is: unknown protein (TAIR:AT3G15630.1); Has 61 Blast hits to 61 proteins in 13 species: Archae - 0; Bacteria - 0; Metazoa - 0; Fungi - 0; Plants - 61; Viruses - 0; Other Eukaryotes - 0 (source /.../ BLink). [Source:TAIR;Acc:AT1G52720]
AT1G78100,F-box protein At1g78100 [Source:UniProtKB/Swiss-Prot;Acc:Q9C9S2]
AT5G19530,Thermospermine synthase ACAULIS5 [Source:UniProtKB/Swiss-Prot;Acc:Q9S7X6]
AT2G29660,zinc finger (C2H2 type) family protein [Source:TAIR;Acc:AT2G29660]
AT2G19860,Hexokinase-2 [Source:UniProtKB/Swiss-Prot;Acc:P93834]
AT1G54100,Aldehyde dehydrogenase family 7 member B4 [Source:UniProtKB/Swiss-Prot;Acc:Q9SYG7]
AT1G30760,FAD-binding Berberine family protein [Source:TAIR;Acc:AT1G30760]
AT1G23060,BEST Arabidopsis thaliana protein match is: TPX2 (targeting protein for Xklp2) protein family (TAIR:AT1G70950.1); Has 35333 Blast hits to 34131 proteins in 2444 species: Archae - 798; Bacteria - 22429; Metazoa - 974; Fungi - 991; Plants - 531; Virus /.../; Other Eukaryotes - 9610 (source: NCBI BLink). [Source:TAIR;Acc:AT1G23060]
AT2G30140,UDP-glycosyltransferase 87A2 [Source:UniProtKB/Swiss-Prot;Acc:O64733]
AT1G11960,CSC1-like protein At1g11960 [Source:UniProtKB/Swiss-Prot;Acc:B5TYT3]
